Sigma: 0.001, Val F1: 0.9489851892484915
Sigma: 0.005, Val F1: 0.9489429933752479
Sigma: 0.1, Val F1: 0.9489851892484915
Sigma: 0.3, Val F1: 0.9487742098822736
Sigma: 0.5, Val F1: 0.9483522511498376
Sigma: 0.8, Val F1: 0.9483522511498376
Sigma: 1.0, Val F1: 0.9483944470230812
Sigma: 2.0, Val F1: 0.9466222203468501
Sigma: 3.0, Val F1: 0.9451875606565678
Sigma: 0.0, Val F1: 0.9489429933752479
Sigma: 1.0, Val F1: 0.9483944470230812
Sigma: 1.0, Val F1: 0.9486572450934326
Sigma: 1.0, Val F1: 0.9408413857124773
Sigma: 0.0, Val F1: 0.9399130765011182
Sigma: 1.0, Val F1: 0.9491117768682222
